source,target,weight,anchors
https://vercel.com/blog,https://vercel.com/blog,4,All Posts | Blog | Blog The latest posts and changes
https://vercel.com/blog,https://vercel.com/blog/category/engineering,1,Engineering
https://vercel.com/blog,https://vercel.com/blog/category/community,1,Community
https://vercel.com/blog,https://vercel.com/blog/category/company-news,1,Company News
https://vercel.com/blog,https://vercel.com/blog/category/customers,1,Customers
https://vercel.com/blog,https://vercel.com/blog/category/v0,1,v0
https://vercel.com/blog,https://vercel.com/blog/anyone-can-build-agents-but-it-takes-a-platform-to-run-them,1,"Feb 9 Anyone can build agents, but it takes a platform to run them Prototyping is democratized, but production deployment isn't. AI models have commoditized code and agent generation, making it possible for anyone to build sophisticated software in minutes. Claude can scaffold a fully functional agent before your morning coffee gets cold. But that same AI will happily architect a $5,000/month DevOps setup when the system could run efficiently at $500/month. In a world where anyone can build inte"
https://vercel.com/blog,https://vercel.com/blog/building-slack-agents-can-be-easy,1,"General Mar 3 Building Slack agents can be easy Slack is already where teams work. It provides a natural interface for agents, with messages, threads, buttons, and events, so you don't need to invent a new UI or onboarding flow. Getting from ""I want a Slack agent"" to a running deployment, though, means coordinating across a lot of systems: Creating an app in the Slack API console Configuring OAuth scopes and event subscriptions Writing webhook handlers and signature verification Deploying to inf"
https://vercel.com/blog,https://vercel.com/blog/advancing-python-typing,1,"General Mar 2 Advancing Python typing We’re excited to share a year-long research effort aimed at making Python’s type system more expressive and composable, something closer in spirit to the programmable types in TypeScript, but carefully crafted for Python’s runtime model. The result is PEP 827: Type Manipulation. Python’s runtime is incredibly powerful: classes, methods, and even whole APIs can be generated on the fly from a few lines of code. Concepts like metaprogramming can transform class"
https://vercel.com/blog,https://vercel.com/blog/How-avalara-turns-pipedreams-into-patent-pending-with-v0,1,"Customers Feb 28 How Avalara turns pipe dreams into patent-pending with v0 Avalara connects businesses to more than 1,400 systems to automate tax compliance around the world. It’s a massively complex ecosystem that spans ERP systems, finance platforms, and compliance tools, all talking to each other. For Chief Strategy and Product Officer Jayme Fishman, the path forward is modernizing how Avalara builds. His mandate is to drive digital transformation, with a sharp focus on AI and innovation. Ent"
https://vercel.com/blog/10-next-js-tips-you-might-not-know,https://vercel.com/blog,4,Blog | Blog The latest posts and changes
https://vercel.com/blog/10-next-js-tips-you-might-not-know,https://vercel.com/blog/category/community,1,Community
https://vercel.com/blog/10-next-js-tips-you-might-not-know,https://vercel.com/blog/10-next-js-tips-you-might-not-know,21,Absolute Imports and Module Path Aliases | CRUD API Routes | Hooking Into the Build Process | Link to heading | Next.js Mobile Applications? | Next.js Preview Mode | Next.js Redirects | Next.js Rewrites | Next.js With Preact | Setting Response HTTP Caching Headers | Shared Component Attributes
https://vercel.com/blog/10-years-of-react,https://vercel.com/blog,4,Blog | Blog The latest posts and changes
https://vercel.com/blog/10-years-of-react,https://vercel.com/blog/category/community,1,Community
https://vercel.com/blog/10-years-of-react,https://vercel.com/blog/10-years-of-react,2,Link to heading
