source_url,target_url,similarity,reason
https://www.getmaxim.ai/blog/maxim-ai-june-2025-updates/,https://getmaxim.ai/blog/maxim-ai-june-2025-updates/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-june-2025-updates/,https://www.getmaxim.ai/blog/monitor-ai-applications-in-real-time-with-maxims-enterprise-grade-llm-observability-platform/,0.5261,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-june-2025-updates/,https://www.getmaxim.ai/blog/better-dashboards-smarter-workflows-maxim-weekly-release-notes-june-9-13-2025/,0.502,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-december-2024-updates/,https://www.getmaxim.ai/blog/maxim-ai-january-2025-updates/,0.6688,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-december-2024-updates/,https://getmaxim.ai/blog/flexible-data-curation-cost-charts-reasoning-column-and-more/,0.5919,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-december-2024-updates/,https://www.getmaxim.ai/blog/maxim-february-2025-update/,0.5838,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-april-2025-updates/,https://www.getmaxim.ai/blog/maxim-ai-march-2025-updates/,0.6798,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-april-2025-updates/,https://www.getmaxim.ai/blog/maxim-ai-january-2025-updates/,0.6732,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-april-2025-updates/,https://www.getmaxim.ai/blog/maxim-ai-may-2025-updates/,0.6154,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/mastering-prompt-engineering/,https://www.getmaxim.ai/blog/building-smarter-ai-thoughtfuls-journey-with-maxim-ai/,0.596,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/mastering-prompt-engineering/,https://www.getmaxim.ai/blog/what-are-offline-evaluations-and-how-to-set-them-up-for-your-ai-system-using-maxim-ai/,0.5714,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/mastering-prompt-engineering/,https://getmaxim.ai/blog/what-are-offline-evaluations-and-how-to-set-them-up-for-your-ai-system-using-maxim-ai/,0.5714,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/logging-and-observability-overhaul-mcp-gateway-evals-on-file-december-updates/,https://getmaxim.ai/blog/logging-and-observability-overhaul-mcp-gateway-evals-on-file-december-updates/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/logging-and-observability-overhaul-mcp-gateway-evals-on-file-december-updates/,https://www.getmaxim.ai/blog/maxim-ai-april-2025-updates/,0.5419,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluating-the-quality-of-ai-hr-assistants/,https://www.getmaxim.ai/blog/evaluating-quality-of-healthcare-assistants-using-maxim/,0.7576,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluating-the-quality-of-ai-hr-assistants/,https://www.getmaxim.ai/blog/evaluating-a-healthcare-use-case-using-vertex-ai-and-maxim-ai-part-1/,0.6565,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluating-the-quality-of-ai-hr-assistants/,https://www.getmaxim.ai/blog/evaluate-insurance-claims-processing-agent-with-maxim/,0.6036,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/is-ai-distillation-theft-or-just-how-knowledge-evolves/,https://getmaxim.ai/blog/is-ai-distillation-theft-or-just-how-knowledge-evolves/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/browsergym-web-agent-automation/,https://www.getmaxim.ai/blog/openai-browsecomp-web-browsing-agent-benchmark/,0.7217,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/browsergym-web-agent-automation/,https://www.getmaxim.ai/blog/llm-agent-evaluation-framework-comparison/,0.6287,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/browsergym-web-agent-automation/,https://www.getmaxim.ai/blog/agent-workflow-memory/,0.6184,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/building-smarter-ai-thoughtfuls-journey-with-maxim-ai/,https://www.getmaxim.ai/blog/announcing-maxim-ais-general-availability-and-the-3m-funding-round-led-by-elevation-capital/,0.6845,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/building-smarter-ai-thoughtfuls-journey-with-maxim-ai/,https://www.getmaxim.ai/blog/mindtickle-ai-quality-evaluation-using-maxim/,0.6669,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/building-smarter-ai-thoughtfuls-journey-with-maxim-ai/,https://www.getmaxim.ai/blog/mastering-prompt-engineering/,0.596,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluate-insurance-claims-processing-agent-with-maxim/,https://www.getmaxim.ai/blog/evaluating-quality-of-healthcare-assistants-using-maxim/,0.6075,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluate-insurance-claims-processing-agent-with-maxim/,https://www.getmaxim.ai/blog/evaluating-the-quality-of-ai-hr-assistants/,0.6036,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluate-insurance-claims-processing-agent-with-maxim/,https://www.getmaxim.ai/blog/evaluating-a-healthcare-use-case-using-vertex-ai-and-maxim-ai-part-1/,0.564,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/evaluating-the-quality-of-nl-to-sql-workflows/,https://www.getmaxim.ai/blog/nl-to-sql-uber/,0.8149,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-august-2025-updates/,https://getmaxim.ai/blog/maxim-ai-august-2025-updates/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-august-2025-updates/,https://www.getmaxim.ai/blog/maxim-february-2025-update/,0.589,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-august-2025-updates/,https://www.getmaxim.ai/blog/voice-simulation-testing-voice-agents-the-way-users-experience-them/,0.5396,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-may-2025-updates/,https://www.getmaxim.ai/blog/maxim-ai-january-2025-updates/,0.6364,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-may-2025-updates/,https://www.getmaxim.ai/blog/maxim-february-2025-update/,0.6253,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/maxim-ai-may-2025-updates/,https://www.getmaxim.ai/blog/last-week-at-maxim-week-1-of-may/,0.6237,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/scaling-enterprise-support-atomicworks-journey-to-seamless-ai-quality-with-maxim/,https://getmaxim.ai/blog/scaling-enterprise-support-atomicworks-journey-to-seamless-ai-quality-with-maxim/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/scaling-enterprise-support-atomicworks-journey-to-seamless-ai-quality-with-maxim/,https://www.getmaxim.ai/blog/maxim-social-updates/,0.5737,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/scaling-enterprise-support-atomicworks-journey-to-seamless-ai-quality-with-maxim/,https://www.getmaxim.ai/blog/maxim-ai-january-2025-updates/,0.5643,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/scaling-personalized-sleep-coaching-rise-sciences-journey-with-maxim-ai/,https://getmaxim.ai/blog/scaling-personalized-sleep-coaching-rise-sciences-journey-with-maxim-ai/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/shipping-exceptional-ai-support-inside-comm100s-workflow/,https://getmaxim.ai/blog/shipping-exceptional-ai-support-inside-comm100s-workflow/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/shipping-exceptional-ai-support-inside-comm100s-workflow/,https://www.getmaxim.ai/blog/mindtickle-ai-quality-evaluation-using-maxim/,0.5292,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/shipping-exceptional-ai-support-inside-comm100s-workflow/,https://www.getmaxim.ai/blog/building-smarter-ai-thoughtfuls-journey-with-maxim-ai/,0.5066,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/the-attention-arms-race-how-modern-open-source-llms-are-reinventing-the-transformers-core/,https://getmaxim.ai/blog/the-attention-arms-race-how-modern-open-source-llms-are-reinventing-the-transformers-core/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/post-training-doesnt-create-your-models-character-it-inherits-one/,https://getmaxim.ai/blog/post-training-doesnt-create-your-models-character-it-inherits-one/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/your-base-model-is-smarter-than-you-think-and-heres-how-to-prove-it/,https://getmaxim.ai/blog/your-base-model-is-smarter-than-you-think-and-heres-how-to-prove-it/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/personaplex-full-duplex-voice-without-the-fixed-persona/,https://getmaxim.ai/blog/personaplex-full-duplex-voice-without-the-fixed-persona/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/personaplex-full-duplex-voice-without-the-fixed-persona/,https://www.getmaxim.ai/blog/voice-simulation-testing-voice-agents-the-way-users-experience-them/,0.5176,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/personaplex-full-duplex-voice-without-the-fixed-persona/,https://getmaxim.ai/blog/voice-simulation-testing-voice-agents-the-way-users-experience-them/,0.5176,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/can-llms-actually-judge-web-development-quality-spoiler-not-really/,https://getmaxim.ai/blog/can-llms-actually-judge-web-development-quality-spoiler-not-really/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/can-llms-actually-judge-web-development-quality-spoiler-not-really/,https://www.getmaxim.ai/blog/llm-as-a-jury/,0.5539,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/can-llms-actually-judge-web-development-quality-spoiler-not-really/,https://www.getmaxim.ai/blog/agent-evaluation/,0.5116,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/beyond-autoregression-llada2-1-and-the-case-for-self-editing-language-models/,https://getmaxim.ai/blog/beyond-autoregression-llada2-1-and-the-case-for-self-editing-language-models/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/building-the-future-of-music-education-yousicians-journey-with-maxim-ai/,https://getmaxim.ai/blog/building-the-future-of-music-education-yousicians-journey-with-maxim-ai/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/xmemory-why-top-k-retrieval-breaks-for-agent-memory/,https://getmaxim.ai/blog/xmemory-why-top-k-retrieval-breaks-for-agent-memory/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/xmemory-why-top-k-retrieval-breaks-for-agent-memory/,https://www.getmaxim.ai/blog/agent-workflow-memory/,0.5453,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/xmemory-why-top-k-retrieval-breaks-for-agent-memory/,https://www.getmaxim.ai/blog/agentfold-what-if-ai-agents-managed-memory-like-humans-do/,0.504,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/beyond-the-benchmark-why-truthtensor-might-be-the-eval-framework-weve-been-missing/,https://getmaxim.ai/blog/beyond-the-benchmark-why-truthtensor-might-be-the-eval-framework-weve-been-missing/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/the-skills-vs-mcp-debate-understanding-two-layers-of-the-same-stack/,https://www.getmaxim.ai/blog/model-context-protocol-guide-mcp/,0.6684,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/the-skills-vs-mcp-debate-understanding-two-layers-of-the-same-stack/,https://www.getmaxim.ai/blog/maxim-ai-april-2025-updates/,0.5613,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/making-voice-assistants-faster-without-losing-accuracy/,https://getmaxim.ai/blog/making-voice-assistants-faster-without-losing-accuracy/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/basics-of-ai-observability-sessions-traces-and-spans/,https://www.getmaxim.ai/blog/from-zero-to-otel-architecting-a-stateless-tracing-sdk-for-genai-part-1/,0.7613,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/basics-of-ai-observability-sessions-traces-and-spans/,https://www.getmaxim.ai/blog/maxim-ai-january-2025-updates/,0.5821,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/beyond-the-sdk-why-ai-teams-love-http-endpoint-based-evals/,https://getmaxim.ai/blog/beyond-the-sdk-why-ai-teams-love-http-endpoint-based-evals/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/building-a-customer-support-ai-agent-with-aws-bedrock-and-testing-it-at-scale/,https://getmaxim.ai/blog/building-a-customer-support-ai-agent-with-aws-bedrock-and-testing-it-at-scale/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/building-a-customer-support-ai-agent-with-aws-bedrock-and-testing-it-at-scale/,https://www.getmaxim.ai/blog/built-an-event-discovery-ai-agent-using-no-code-under-15-mins/,0.6038,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/best-llms-for-legal-ai-agents-a-deep-dive-into-legalbench-performance/,https://www.getmaxim.ai/blog/llm-agent-evaluation-framework-comparison/,0.5558,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/best-llms-for-legal-ai-agents-a-deep-dive-into-legalbench-performance/,https://www.getmaxim.ai/blog/paperbench-can-ai-agents-actually-replicate-ai-research/,0.521,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/best-llms-for-legal-ai-agents-a-deep-dive-into-legalbench-performance/,https://www.getmaxim.ai/blog/can-your-ai-explain-why-its-moral/,0.5168,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/semantic-highlighting-making-rag-cheaper-without-compromises/,https://getmaxim.ai/blog/semantic-highlighting-making-rag-cheaper-without-compromises/,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/blog/voice-simulation-testing-voice-agents-the-way-users-experience-them/,https://getmaxim.ai/blog/voice-simulation-testing-voice-agents-the-way-users-experience-them/,1.0,High semantic similarity; add contextual link
