source_url,target_url,similarity,reason
https://galileo.ai/blog/galileo-agent-reliability-platform,https://www.galileo.ai/blog/galileo-agent-reliability-platform,1.0,High semantic similarity; add contextual link
https://galileo.ai/blog/galileo-agent-reliability-platform,https://galileo.ai/blog/ai-agent-reliability-strategies,0.7499,High semantic similarity; add contextual link
https://galileo.ai/blog/galileo-agent-reliability-platform,https://galileo.ai/blog/debug-multi-agent-ai-systems,0.7321,High semantic similarity; add contextual link
https://galileo.ai/blog/why-multi-agent-systems-fail,https://www.galileo.ai/blog/why-multi-agent-systems-fail,1.0,High semantic similarity; add contextual link
https://galileo.ai/blog/why-multi-agent-systems-fail,https://www.galileo.ai/blog/benefits-of-multi-agent-systems,0.8184,High semantic similarity; add contextual link
https://galileo.ai/blog/why-multi-agent-systems-fail,https://galileo.ai/blog/choosing-the-right-ai-agent-architecture-single-vs-multi-agent-systems,0.7762,High semantic similarity; add contextual link
https://galileo.ai/blog/bringing-ai-observability-behind-the-firewall-deploying-on-premise-ai,https://www.galileo.ai/blog/bringing-ai-observability-behind-the-firewall-deploying-on-premise-ai,1.0,High semantic similarity; add contextual link
https://galileo.ai/blog/bringing-ai-observability-behind-the-firewall-deploying-on-premise-ai,https://galileo.ai/blog/ai-trust-transparency-governance,0.5246,High semantic similarity; add contextual link
https://galileo.ai/blog/bringing-ai-observability-behind-the-firewall-deploying-on-premise-ai,https://galileo.ai/blog/confidently-ship-ai-applications-with-databricks-and-galileo,0.5166,High semantic similarity; add contextual link
https://galileo.ai/blog/why-language-models-hallucinate,https://www.galileo.ai/blog/why-language-models-hallucinate,1.0,High semantic similarity; add contextual link
https://galileo.ai/blog/benefits-of-multi-agent-systems,https://www.galileo.ai/blog/benefits-of-multi-agent-systems,1.0,High semantic similarity; add contextual link
https://galileo.ai/blog/benefits-of-multi-agent-systems,https://galileo.ai/blog/why-multi-agent-systems-fail,0.8184,High semantic similarity; add contextual link
https://galileo.ai/blog/benefits-of-multi-agent-systems,https://www.galileo.ai/blog/why-multi-agent-systems-fail,0.8184,High semantic similarity; add contextual link
