source_url,target_url,similarity,reason
https://arize.com/blog/ai-in-the-time-of-corona/,https://arize.com/blog/?p=1,1.0,High semantic similarity; add contextual link
https://arize.com/blog/ai-in-the-time-of-corona/,https://arize.com/blog/five-predictions-for-ai-in-2022/,0.5846,High semantic similarity; add contextual link
https://arize.com/blog/ai-in-the-time-of-corona/,https://arize.com/blog/best-practices-for-ml-monitoring-and-observability-of-demand-forecasting-models/,0.561,High semantic similarity; add contextual link
https://arize.com/blog/the-ai-ecosystem-is-a-mess/,https://arize.com/blog/why-we-exist/,0.7793,High semantic similarity; add contextual link
https://arize.com/blog/the-ai-ecosystem-is-a-mess/,https://arize.com/blog/ml-infrastructure-tools-for-model-building/,0.7442,High semantic similarity; add contextual link
https://arize.com/blog/the-ai-ecosystem-is-a-mess/,https://arize.com/blog/ml-infrastructure-tools-for-production-part-1/,0.6706,High semantic similarity; add contextual link
https://arize.com/blog/welcome-tsion-behailu/,https://arize.com/blog/welcome-to-arize-manisha-sharma/,0.7954,High semantic similarity; add contextual link
https://arize.com/blog/welcome-tsion-behailu/,https://arize.com/blog/welcome-to-arize-ai-eunice/,0.7506,High semantic similarity; add contextual link
https://arize.com/blog/welcome-tsion-behailu/,https://arize.com/blog/welcome-to-arize-mikyo/,0.6797,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-data-preparation/,https://arize.com/blog/ml-infrastructure-tools-for-model-building/,0.8992,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-data-preparation/,https://arize.com/blog/ml-infrastructure-tools-for-production-part-1/,0.8097,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-data-preparation/,https://arize.com/blog/ml-infrastructure-tools-for-production-part-2-model-deployment-and-serving/,0.8086,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-model-building/,https://arize.com/blog/ml-infrastructure-tools-for-production-part-1/,0.9383,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-model-building/,https://arize.com/blog/ml-infrastructure-tools-for-production-part-2-model-deployment-and-serving/,0.9122,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-model-building/,https://arize.com/blog/ml-infrastructure-tools-for-data-preparation/,0.8992,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-production-part-1/,https://arize.com/blog/ml-infrastructure-tools-for-model-building/,0.9383,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-production-part-1/,https://arize.com/blog/ml-infrastructure-tools-for-production-part-2-model-deployment-and-serving/,0.9088,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-for-production-part-1/,https://arize.com/blog/ml-infrastructure-tools-for-data-preparation/,0.8097,High semantic similarity; add contextual link
https://arize.com/blog/women-in-ai-to-watch/,https://arize.com/blog/eight-takeaways-from-our-event-with-women-of-ai/,0.7805,High semantic similarity; add contextual link
https://arize.com/blog/women-in-ai-to-watch/,https://arize.com/blog/can-ai-be-a-force-for-good-in-improving-diversity-in-hiring/,0.6758,High semantic similarity; add contextual link
https://arize.com/blog/women-in-ai-to-watch/,https://arize.com/blog/ethical-ai-technologies/,0.6261,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-nate/,https://arize.com/blog/welcome-to-arize-mikyo/,0.7732,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-nate/,https://arize.com/blog/welcome-to-arize-ai-eunice/,0.6997,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-nate/,https://arize.com/blog/welcome-to-arize-kunal/,0.6727,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-mikyo/,https://arize.com/blog/welcome-to-arize-nate/,0.7732,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-mikyo/,https://arize.com/blog/welcome-to-arize-ai-eunice/,0.7604,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-mikyo/,https://arize.com/blog/welcome-to-arize-kunal/,0.7132,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-and-paperspace-partnership/,https://arize.com/blog/model-monitoring-continuous-improvements-for-ml-models/,0.7646,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-and-paperspace-partnership/,https://arize.com/blog/gartner-ai-operationalization-arize/,0.7537,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-and-paperspace-partnership/,https://arize.com/blog/arize-ai-partners-with-spell/,0.7037,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-named-tie50-award-winner-at-tiecon/,https://arize.com/blog/arize-ai-named-to-forbes-ai-50-2021/,0.7908,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-named-tie50-award-winner-at-tiecon/,https://arize.com/blog/arize-ai-wins-2020-ai-techaward-for-enterprise-ai/,0.7715,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-named-tie50-award-winner-at-tiecon/,https://arize.com/blog/arize-ai-selected-for-insidebigdatas-impact-50-list/,0.7462,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-manisha-sharma/,https://arize.com/blog/welcome-to-arize-ai-eunice/,0.8105,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-manisha-sharma/,https://arize.com/blog/welcome-tsion-behailu/,0.7954,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-manisha-sharma/,https://arize.com/blog/welcome-to-arize-kunal/,0.7037,High semantic similarity; add contextual link
https://arize.com/blog/why-we-exist/,https://arize.com/blog/the-ai-ecosystem-is-a-mess/,0.7793,High semantic similarity; add contextual link
https://arize.com/blog/why-we-exist/,https://arize.com/blog/arize-series-a-ml-observability/,0.6891,High semantic similarity; add contextual link
https://arize.com/blog/why-we-exist/,https://arize.com/blog/ml-infrastructure-tools-for-model-building/,0.6482,High semantic similarity; add contextual link
https://arize.com/blog/monitor-your-model-in-production/,https://arize.com/blog/toward-better-ml-troubleshooting/,0.7361,High semantic similarity; add contextual link
https://arize.com/blog/monitor-your-model-in-production/,https://arize.com/blog/ml-model-failure-modes/,0.5847,High semantic similarity; add contextual link
https://arize.com/blog/monitor-your-model-in-production/,https://arize.com/blog/best-practices-in-ml-observability-for-customer-lifetime-value-ltv-models/,0.5775,High semantic similarity; add contextual link
https://arize.com/blog/statistical-distance-for-machine-learning/,https://arize.com/blog/model-concept-data-drift/,0.6799,High semantic similarity; add contextual link
https://arize.com/blog/statistical-distance-for-machine-learning/,https://arize.com/blog/ml-model-failure-modes/,0.6785,High semantic similarity; add contextual link
https://arize.com/blog/statistical-distance-for-machine-learning/,https://arize.com/blog/take-my-drift-away/,0.6292,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-ml-observability/,https://arize.com/blog/five-unexpected-ways-to-use-ml-observability/,0.7377,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-ml-observability/,https://arize.com/blog/model-monitoring-continuous-improvements-for-ml-models/,0.7219,High semantic similarity; add contextual link
https://arize.com/blog/ml-infrastructure-tools-ml-observability/,https://arize.com/blog/three-takeaways-from-our-survey-of-top-ml-teams/,0.6936,High semantic similarity; add contextual link
https://arize.com/blog/ml-model-failure-modes/,https://arize.com/blog/model-concept-data-drift/,0.7777,High semantic similarity; add contextual link
https://arize.com/blog/ml-model-failure-modes/,https://arize.com/blog/take-my-drift-away/,0.7676,High semantic similarity; add contextual link
https://arize.com/blog/ml-model-failure-modes/,https://arize.com/blog/statistical-distance-for-machine-learning/,0.6785,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-kunal/,https://arize.com/blog/welcome-to-arize-ai-eunice/,0.7701,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-kunal/,https://arize.com/blog/welcome-to-arize-mikyo/,0.7132,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-kunal/,https://arize.com/blog/welcome-to-arize-manisha-sharma/,0.7037,High semantic similarity; add contextual link
https://arize.com/blog/the-chronicles-of-ai-ethics-the-man-the-machine-and-the-black-box/,https://arize.com/blog/ethical-ai-technologies/,0.8258,High semantic similarity; add contextual link
https://arize.com/blog/the-chronicles-of-ai-ethics-the-man-the-machine-and-the-black-box/,https://arize.com/blog/operationalizing-ai-ethics/,0.7818,High semantic similarity; add contextual link
https://arize.com/blog/the-chronicles-of-ai-ethics-the-man-the-machine-and-the-black-box/,https://arize.com/blog/toward-sustainable-ai/,0.6881,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-ai-tammy/,https://arize.com/blog/arize-ai-is-growing/,0.6331,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-ai-tammy/,https://arize.com/blog/welcome-to-arize-kunal/,0.5879,High semantic similarity; add contextual link
https://arize.com/blog/welcome-to-arize-ai-tammy/,https://arize.com/blog/welcome-to-arize-nate/,0.5865,High semantic similarity; add contextual link
https://arize.com/blog/arize-ai-partners-with-algorithmia/,https://arize.com/blog/model-monitoring-continuous-improvements-for-ml-models/,0.7319,High semantic similarity; add contextual link
